epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.6038,1.91063,3.6382,1.15506,0.00608,0.16831,0.00996,0.00252,3.03608,3.54639,1.22057,0.00016,0.00016,0.00016
2,13.4159,1.87695,2.83472,1.03343,0.02229,0.6169,0.10212,0.03212,1.88859,3.37341,1.0208,0.00031756,0.00031756,0.00031756
3,14.2303,1.78699,1.85627,1.00374,0.02219,0.61408,0.11366,0.04334,2.01438,3.23264,1.0584,0.00045136,0.00045136,0.00045136
4,15.1701,1.68237,1.4432,0.99959,0.01896,0.52465,0.06656,0.03094,2.16883,3.15658,1.12864,0.0005614,0.0005614,0.0005614
5,15.9456,1.57629,1.33864,1.01038,0.01982,0.54859,0.04719,0.02705,1.7059,3.1026,0.99731,0.00064768,0.00064768,0.00064768
6,18.3052,1.49705,1.35031,1.014,0.02071,0.57324,0.07428,0.04965,1.67495,3.05053,0.99318,0.0007102,0.0007102,0.0007102
7,19.3193,1.44928,1.24294,0.99948,0.01824,0.50493,0.13396,0.08496,1.886,2.90918,1.05936,0.00074896,0.00074896,0.00074896
8,20.3337,1.43668,1.19555,1.00071,0.98131,0.11092,0.25207,0.15443,1.78103,2.65465,1.02748,0.00076396,0.00076396,0.00076396
9,21.3298,1.46232,1.14607,0.99278,0.95075,0.08157,0.31771,0.16362,2.03136,2.4994,1.09957,0.0007552,0.0007552,0.0007552
10,22.2679,1.42348,1.17677,0.96462,0.97055,0.16247,0.61724,0.3248,1.53056,2.20883,0.98298,0.00072268,0.00072268,0.00072268
11,23.0697,1.43212,1.09676,0.98624,0.95655,0.31006,0.61091,0.3106,1.57576,2.01779,0.99648,0.0006664,0.0006664,0.0006664
12,23.8401,1.41951,1.07499,0.98595,0.85297,0.57394,0.73793,0.40585,1.45497,1.63184,0.96417,0.000548,0.000548,0.000548
13,24.6463,1.38754,1.03985,0.9852,0.77058,0.61974,0.71683,0.38169,1.51306,1.49539,0.97558,0.000416,0.000416,0.000416
14,25.4569,1.33308,1.05905,0.95644,0.79597,0.64507,0.75059,0.41756,1.44725,1.31791,0.96287,0.000284,0.000284,0.000284
15,26.2704,1.24238,0.97659,0.96938,0.83568,0.6831,0.78881,0.4559,1.36718,1.17741,0.95422,0.000152,0.000152,0.000152
