epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.4156,1.8924,3.71578,1.19132,0.00852,0.23592,0.02552,0.00687,2.56182,3.44272,1.13738,0.00016,0.00016,0.00016
2,14.2442,1.73198,2.67103,1.02645,0.01817,0.50282,0.07819,0.01993,1.99076,3.36995,1.04394,0.00030634,0.00030634,0.00030634
3,15.065,1.661,1.70737,1.01914,0.02079,0.57535,0.15528,0.05352,1.74762,3.19068,0.98888,0.00041704,0.00041704,0.00041704
4,15.8266,1.53438,1.42695,0.99454,0.0186,0.51479,0.02748,0.01103,1.68909,3.10216,0.99912,0.0004921,0.0004921,0.0004921
5,16.7867,1.51666,1.34488,1.01863,0.01873,0.51831,0.02125,0.01087,1.89768,3.05476,1.03937,0.00053152,0.00053152,0.00053152
6,17.5834,1.44697,1.23759,0.98729,0.02593,0.71761,0.07418,0.04646,1.5504,2.91294,0.97555,0.0005353,0.0005353,0.0005353
7,18.3269,1.37466,1.17477,0.98377,0.02842,0.78662,0.20654,0.12932,1.46845,2.72707,0.95813,0.00050344,0.00050344,0.00050344
8,19.0794,1.41869,1.16263,0.97526,0.02954,0.81761,0.45203,0.25711,1.56557,2.48075,0.97612,0.00043594,0.00043594,0.00043594
9,19.8522,1.4009,1.12992,0.97482,0.98082,0.18004,0.60615,0.33522,1.47004,2.25773,0.95698,0.0003328,0.0003328,0.0003328
10,20.6963,1.33815,1.09224,0.96527,0.96381,0.16882,0.62944,0.32273,1.57136,2.14165,0.97923,0.00019402,0.00019402,0.00019402
